paper_id,title,domain,source_url,pdf_filename,language,license_status,text_extractable,page_count,notes
paper-012,"Metric Distortion of Social Welfare Functions","Social Choice / Computational Economics","https://arxiv.org/abs/2608.21790v1","paper-012.pdf","en","CC BY 4.0","yes",11,"Expansion corpus; text extraction verified"
paper-013,"Do Vision-Language Models Agree on the Affective Qualities of Shape? A Cross-Model Audit for Generative Design Interfaces","Vision-Language Models / HCI","https://arxiv.org/abs/2608.25876v1","paper-013.pdf","en","CC BY 4.0","yes",13,"Expansion corpus; text extraction verified"
paper-014,"CrabOS: An Operating System for Human-AI Co-inhabitation","Operating Systems / Human-AI Interaction","https://arxiv.org/abs/2608.28165v1","paper-014.pdf","en","arXiv non-exclusive distribution","yes",10,"Expansion corpus; title and authors verified against arXiv; raw PDF remains local-only"
paper-015,"Narcissus: Program Synthesis Using Context-Aware LLM Approximations","Software Engineering / Program Synthesis","https://arxiv.org/abs/2608.25657v1","paper-015.pdf","en","CC BY-SA 4.0","yes",17,"Expansion corpus; text extraction verified"
paper-016,"When Can Agents Safely Checkpoint, Fork, Restore, and Merge? Exact Checking for Execution Edits","AI Agents / Formal Verification","https://arxiv.org/abs/2608.22928v1","paper-016.pdf","en","CC BY 4.0","yes",24,"Expansion corpus; text extraction verified"
paper-017,"Beyond the Editing Canvas: Evidence Divergence in OOXML-to-LLM Ingestion","Document AI / OOXML Security","https://arxiv.org/abs/2608.25880v1","paper-017.pdf","en","arXiv non-exclusive distribution","yes",17,"Expansion corpus; title and authors verified against arXiv; raw PDF remains local-only"
paper-018,"Linear Hashing is Not That Awesome","Algorithms / Data Structures","https://arxiv.org/abs/2608.23502v1","paper-018.pdf","en","CC BY-NC-ND 4.0","yes",17,"Expansion corpus; text extraction verified"
paper-019,"Stellar mass growth in COSMOS-Web: a mass-complete main sequence to z ~ 8 and its consistency with GSMF evolution","Astronomy / Galaxy Evolution","https://arxiv.org/abs/2608.25671v1","paper-019.pdf","en","CC BY 4.0","yes",14,"Expansion corpus; text extraction verified"
paper-020,"Self-selective growth of GaAs1-xBix on GaAs zinc blende/wurtzite nanowire heterostructures","Materials Science / Semiconductor Nanowires","https://arxiv.org/abs/2608.26855v1","paper-020.pdf","en","arXiv non-exclusive distribution","yes",18,"Expansion corpus; title and authors verified against arXiv; keep raw PDF local because the arXiv license grants distribution rights to arXiv, not this repository"
paper-021,"Fast generation of spectrally-shaped disorder, on the sphere","Computational Physics / Soft Matter","https://arxiv.org/abs/2608.24867v1","paper-021.pdf","en","arXiv non-exclusive distribution","yes",22,"Expansion corpus; title and authors verified against arXiv; raw PDF remains local-only"
paper-022,"Gallium phosphide on insulator for nanophotonics and quantum technologies","Nanophotonics / Materials Science","https://arxiv.org/abs/2608.02328v1","paper-022.pdf","en","CC BY 4.0","yes",15,"Expansion corpus; text extraction verified"
paper-023,"Generalised simultaneous transmission of arbitrary quantum states and classical information","Quantum Information","https://arxiv.org/abs/2606.03181v3","paper-023.pdf","en","CC BY 4.0","yes",18,"Expansion corpus; text extraction verified; equation-heavy paper retained for robustness testing"
paper-024,"Integrating Polchinski's equation by convergent binary tree expansions","Mathematical Physics","https://arxiv.org/abs/2606.21644v1","paper-024.pdf","en","CC BY 4.0","yes",27,"Expansion corpus; text extraction verified; equation-heavy paper retained for robustness testing"
paper-025,"Decomposing Wage Stagnation: Employment Reallocation, Wage Structure, and Demographics","Labor Economics","https://arxiv.org/abs/2607.01561v1","paper-025.pdf","en","arXiv non-exclusive distribution","yes",23,"Expansion corpus; title and author verified against arXiv; raw PDF remains local-only"
paper-026,"Resolving the Binding Constraint on Circular Economy: Principal Return Rate as Interest-Free Monetary Architecture","Circular Economy / Monetary Economics","https://arxiv.org/abs/2607.03214v1","paper-026.pdf","en","CC BY-NC-ND 4.0","yes",24,"Expansion corpus; title and author verified against arXiv; attribution, non-commercial use, and no-derivatives restrictions apply"
paper-027,"Sectoral contributions to sustainable development in Türkiye: Which sector is more effective?","Sustainability Economics","https://doi.org/10.30855/gjeb.2026.12.2.014","paper-027.pdf","en","CC BY-NC 4.0","yes",22,"Expansion corpus; article and author verified against the journal record; attribution and non-commercial restrictions apply"
paper-028,"Hydrodynamic theories of chemotaxis-driven invasion in proliferating cell populations","Mathematical Biology / Cell Migration","https://arxiv.org/abs/2608.27833v1","paper-028.pdf","en","CC BY 4.0","yes",25,"Expansion corpus; text extraction verified"
paper-029,"Sure About That Line? Approaching Confidence-Based, Real-Time Line Assignment in Reading Gaze Data","HCI / Eye Tracking","https://arxiv.org/abs/2605.00033v1","paper-029.pdf","en","CC BY 4.0","yes",21,"Expansion corpus; text extraction verified"
paper-030,"Predicting Quantifiability from Primary Screens to Prioritize Dose-Response Profiling","Drug Discovery / Machine Learning","https://arxiv.org/abs/2608.26538v1","paper-030.pdf","en","CC0 1.0","yes",18,"Expansion corpus; text extraction verified"



